Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
Lrch1_E01_M_total mean,,,2.033268333,1.259533333,0.773735,38.0946246,0.771768333,5.044166667,3.972681497,0.001966667,0.253,0.16185,0.431913333,0.287025,0.144886667,0.275765,0.215686667,2.072922034,1.341030203,1143.91,1206.814017,Lrch1_E01_CF.xlsx,Lrch1,14.84533333,,,
Mag_E01_M_total mean,,,1.756506667,1.015588333,0.740918333,42.08289257,0.738933333,4.612666667,3.569835085,0.001985,0.266833333,0.168583333,0.351261667,0.235508333,0.115751667,0.245283333,0.185188333,1.915146055,1.245970376,1157.458183,1221.1046,Mag_E01_CF.xlsx,Mag,14.792,,,
MARCOD2_E01_M_total mean,,14.6125,1.78095125,1.05012125,0.73083,40.94174337,0.72811,4.74975,3.629095814,0.00272,0.368375,0.1627,0.3529825,0.23645375,0.11652875,0.2441275,0.18662375,1.946415485,1.255568009,1108.8235,1173.92645,Marcod2_E01_CF.xlsx,Marcod2,,,,
Mdp1_E01_M_total mean,,,1.793182857,1.04864,0.744542857,41.30737158,0.74286,4.609428571,3.629207933,0.001682857,0.227428571,0.166857143,0.359055714,0.235844286,0.123211429,0.2433,0.191528571,1.928886156,1.281491653,1157.7432,1222.756671,Mdp1_E01_CF.xlsx,Mdp1,12.65142857,,,
Mettl10_E01_M_total mean,,,1.76964125,1.06608,0.70356125,39.58880671,0.70177125,4.662,3.657625939,0.00179,0.251625,0.1562875,0.3441075,0.2323475,0.11176,0.24032,0.18041,1.924241775,1.231347869,1151.910763,1219.019563,Mettl10_E01_CF.xlsx,Mettl10,14.79,,,
Mettl21c_E01_M_total mean,,,2.05732125,1.25322,0.80410125,39.07625864,0.80153375,5.205,3.961389123,0.0025675,0.320375,0.168375,0.45499875,0.30172125,0.15327875,0.29315,0.22276375,2.049086565,1.364492036,1149.04855,1210.81585,Mettl21c_E01_CF.xlsx,Mettl21c,15.13,,,
Mettl7b_E01_M_total mean,,,1.69611375,0.99536125,0.7007525,41.14879119,0.69873125,4.476625,3.535828095,0.00202125,0.287375,0.16145,0.32157125,0.21529125,0.1062775,0.23007375,0.17453125,1.864781827,1.215376043,1158.339775,1225.135425,Mettl7b_E01_CF.xlsx,Mettl7b,14.67,,,
Mfsd10_E01_M_total mean,,,1.9475325,1.14958125,0.79795125,40.89942885,0.7955925,5.004,3.791202098,0.00235875,0.29325,0.1726375,0.4281075,0.28779625,0.14030875,0.2806375,0.210625,2.030271344,1.31155188,1159.000938,1221.533788,Mfsd10_E01_CF.xlsx,Mfsd10,15.086,,,
MMP8_E01_M_total mean,,14.61125,1.7154625,1.06399,0.6514725,37.91912321,0.64969625,4.562375,3.653965716,0.00177625,0.272625,0.1479625,0.3089925,0.2061825,0.1028075,0.21482375,0.16705,1.915316731,1.228010357,1154.385525,1221.699075,Mmp8_E01_CF.xlsx,Mmp8,,,,
Moxd1_E01_M_total mean,,14.71,1.76271375,1.05221125,0.7105025,40.24221335,0.70843625,4.58525,3.632799776,0.00206625,0.289,0.1606625,0.34068375,0.2262325,0.11445,0.2345175,0.18031,1.922245911,1.266796903,1162.837463,1232.72145,Moxd1_E01_CF.xlsx,Moxd1,,,,
Mrgprd_E01_M_total mean,,,1.8346325,1.08717125,0.74746125,40.64328167,0.74544625,4.690375,3.690530658,0.002015,0.26725,0.165175,0.37884375,0.25732875,0.12151125,0.25949375,0.19145375,1.966534268,1.260163462,1147.047675,1208.649625,Mrgprd_E01_CF.xlsx,Mrgprd,14.65,,,
