Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
4930563E22Rik_F05_CV,13098,20.2,49.3,4.4419,227,244.3083,202.774,760.0366,1.9197,0.3878,1.2388,15.9491,45.4375,8.308121061,10.41131928,1.7532,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_F06_CV,13099,20.87,51.7,4.8345,206,193.0783,207.785,799.9853,1.4398,0.3005,1.5387,11.8678,44.0882,8.242672593,10.41674713,1.8132,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_F07_CV,13100,14.94,45.7,3.9697,252.6,143.9777,159.6239,747.9268,1.337,0.1997,1.777,8.4719,48.9791,6.336499626,7.449133914,1.9495,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
4930563E22Rik_F08_CV,13101,23.07,51.9,4.6594,212.7,213.5694,218.6421,769.9194,1.8987,0.4381,0.9352,16.6013,40.9586,8.743508716,11.36608243,1.7036,4930563E22Rik_E01_CV.xlsx,4930563E22Rik
A1cf_E01_F01_CV,7195,15.05,42.7,4.3434,234.3,157.6117,165.5397,750.9194,1.0278,0.1547,1.8351,6.7252,51.5748,6.543296361,7.702668652,1.8081,A1cf_E01_CV.xlsx,A1cf
A1cf_E01_F02_CV,7196,23.93,53.6,4.8737,202,200.5527,232.7007,808.2673,1.4709,0.3519,0.9892,13.0057,40.144,8.842001496,11.62260947,1.9588,A1cf_E01_CV.xlsx,A1cf
A1cf_E01_F03_CV,7197,25.82,55.7,4.6946,211.3,224.5238,240.8436,766.718,1.7905,0.4622,0.7924,16.438,38.077,9.180675789,12.37521644,1.72,A1cf_E01_CV.xlsx,A1cf
A1cf_E01_F04_CV,7198,22.48,52.7,4.7039,210.6,180.0049,219.1989,810.0768,1.2972,0.2915,1.1642,10.8714,41.1388,8.38066605,10.80978423,1.9333,A1cf_E01_CV.xlsx,A1cf
A1cf_E01_F05_CV,7200,26.88,54.3,5.1727,191.3,237.0531,252.1183,804.6483,1.6136,0.4337,0.7423,15.7373,39.0612,9.752912742,13.33782524,1.9653,A1cf_E01_CV.xlsx,A1cf
A1cf_E01_F06_CV,7201,24.62,58.2,4.5704,216.4,154.6885,236.111,804.9962,1.7067,0.4202,0.7923,14.3867,36.5138,8.429542392,11.18282161,1.8192,A1cf_E01_CV.xlsx,A1cf
