Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
Steap2_E01_F08_CF                         ,13922,,1.50843,0.89064,0.61779,40.8530724,0.61624,4.147,3.345461452,0.00155,0.251,0.1538,0.24572,0.15259,0.09313,0.18572,0.14572,1.643226362,1.278204776,1157.2958,1227.7975,Steap2_E01_CF.xlsx,Steap2,14.704,,,
STK16_E01_F01_CF                          ,3279,14.74,1.62565,0.9744,0.65125,39.92556823,0.64905,4.383,3.499238707,0.0022,0.338,0.1557,0.28043,0.17858,0.10185,0.19401,0.16484,1.840936034,1.235743752,1143.0192,1206.9281,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F02_CF                          ,3280,14.4,1.58732,0.97212,0.6152,38.67651135,0.61392,4.157,3.495142372,0.00128,0.208,0.1486,0.26081,0.16168,0.09912,0.1864,0.15547,1.734763948,1.275101306,1143.6626,1207.786,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F03_CF                          ,3281,14.24,1.60153,0.99482,0.60671,37.78262037,0.6051,4.264,3.53571447,0.00161,0.266,0.1408,0.26924,0.17677,0.09247,0.18851,0.15089,1.875444274,1.225661078,1140.3027,1207.5715,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F04_CF                          ,3282,14.53,1.59193,0.9306,0.66133,41.38372918,0.6588,4.298,3.419687777,0.00253,0.383,0.1579,0.28069,0.18538,0.09531,0.20954,0.15603,1.769399637,1.221688137,1141.375,1203.6398,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F05_CF                          ,3284,14.8,1.61846,0.97843,0.64003,39.43563635,0.63825,4.323,3.506467453,0.00178,0.278,0.1529,0.27596,0.17581,0.10015,0.19957,0.15603,1.761888059,1.283727488,1139.5878,1204.2117,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F06_CF                          ,3285,15.07,1.68135,1.04085,0.6405,37.966515,0.63835,4.595,3.616587736,0.00215,0.336,0.1483,0.29085,0.18649,0.10436,0.20469,0.16076,1.822170111,1.298332919,1128.8649,1193.2742,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F07_CF                          ,3286,14.38,1.53446,0.93829,0.59617,38.72567548,0.59423,4.114,3.433787979,0.00194,0.325,0.1449,0.2468,0.15938,0.08742,0.18002,0.14367,1.770692145,1.216955523,1123.6464,1187.5553,Stk16_E01_CF.xlsx,Stk16,,,,
STK16_E01_F08_CF                          ,3287,14.37,1.59542,0.97531,0.62011,38.75468529,0.6183,4.19,3.500872309,0.00181,0.291,0.1473,0.26607,0.17031,0.09576,0.19028,0.15638,1.790098802,1.224709042,1138.0865,1203.1394,Stk16_E01_CF.xlsx,Stk16,,,,
Stmn4_E01_F01_CF                          ,13934,,1.55772,0.9022,0.65552,41.95362453,0.65352,4.341,3.367102548,0.002,0.306,0.1595,0.26928,0.17388,0.0954,0.20222,0.15401,1.719711206,1.238880592,1148.6658,1216.9404,Stmn4_E01_CF.xlsx,Stmn4,14.816,,,
Stmn4_E01_F02_CF                          ,13935,,1.64219,0.94402,0.69817,42.37694786,0.69591,4.311,3.444256841,0.00226,0.325,0.1659,0.29966,0.19073,0.10893,0.21478,0.16909,1.776049912,1.288426282,1161.8196,1229.1199,Stmn4_E01_CF.xlsx,Stmn4,14.48,,,
Stmn4_E01_F03_CF                          ,13936,,1.64716,0.96798,0.67918,41.12472377,0.67739,4.331,3.487691991,0.00179,0.264,0.1589,0.29501,0.18454,0.11047,0.2114,0.17011,1.745884579,1.298806655,1159.5925,1226.4055,Stmn4_E01_CF.xlsx,Stmn4,14.704,,,
