Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E02_F03_CV,1221.0,23.66804046459348,56.599999999999994,4.8274,205.4,157.7392,230.2417,737.167,2.669,0.6317,1.0964,23.805,39.5532,8.91907081303859,11.684582535709026,1.7732,AAA_E02_CV.xlsx,AAA
AAA_E02_F04_CV,1222.0,20.328542094455855,55.4,4.2355,237.8,149.3394,208.0745,740.155,2.1428,0.4356,1.4881,16.5516,41.0197,7.724285980959493,9.695173383317714,1.7786,AAA_E02_CV.xlsx,AAA
AAA_E02_F05_CV,1224.0,23.421317751360064,57,4.647,218.4,194.0329,227.2536,719.725,2.4815,0.5812,1.16,22.0109,39.9105,8.869997985089663,11.582855338630742,1.6457,AAA_E02_CV.xlsx,AAA
AAA_E03_F01_CV,1199.0,18.628546861564917,51.5,4.7427,211.7,147.6784,194.3156,728.898,2.326,0.4333,1.7921,18.5679,46.6047,7.982760103181428,9.810271041369473,1.6809,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_F02_CV,1200.0,22.702923737477,53.1,5.1503,191.39999999999998,200.1662,227.3926,726.744,2.4455,0.5552,1.473,22.7585,44.0331,9.306276835003068,12.03962334021055,1.7044,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_F03_CV,1201.0,24.036120578991635,55.199999999999996,5.632,175.8,216.6835,241.4295,723.13,2.2591,0.543,1.5461,21.9451,43.5886,9.714089681731663,12.787774605209487,1.7299,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_F05_CV,1204.0,24.691846658373855,53.5,6.1384,160.3,241.1529,251.3665,705.341,1.7686,0.4367,1.5903,17.5642,43.6753,9.931131968788872,13.187326375854042,1.6123,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_F06_CV,1205.0,23.39453860640301,53.3,5.2896,186.29999999999998,197.2729,229.7552,746.896,2.124,0.4969,1.3719,20.0651,43.1967,9.446845574387947,12.331817343740397,1.7069,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_F07_CV,1206.0,21.654329202362142,53.1,4.768,208.7,180.2781,209.8813,737.723,2.4046,0.5207,1.4808,21.1717,43.7964,8.804666056724612,11.238229205371837,1.658,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E03_F08_CV,1207.0,17.645340344726847,47.9,5.0622,197.3,160.9244,195.9138,738.974,2.0538,0.3624,1.978,16.3147,50.5159,7.943665400720615,9.645678136455007,1.8062,AAA_E03_CV.xlsx,AAA_E03_CV.xlsx
AAA_E04_F01_CV,1249.0,22.78131436060663,56.5,3.9438,263.90000000000003,166.4011,215.1624,745.506,2.1364,0.4867,0.9014,17.5484,38.1239,8.214004868002247,10.637327999030125,1.8463,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F02_CV,1250.0,24.415349887133182,56.4,4.5017,229.4,185.7793,233.6467,747.799,2.215,0.5408,0.8166,19.6069,38.0896,8.851873589164786,11.71120535180982,1.7977,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F03_CV,1251.0,23.031140397491765,57.8,4.3289,234,168.4553,222.6673,724.312,1.8818,0.4334,1.0787,15.6494,38.3378,8.31618662982251,10.804611985639326,1.7666,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F04_CV,1252.0,23.175985334555456,57.3,4.0968,251.5,154.2174,220.3047,720.907,2.182,0.5057,1.0393,18.2602,38.1542,8.368560953253896,10.893157549364673,1.7591,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F05_CV,1254.0,20.597960229124947,55.7,4.159,243.9,162.7604,207.6576,725.84,2.1473,0.4423,1.3538,16.5325,40.2454,7.699203651096726,9.696480938416421,1.7593,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F06_CV,1255.0,18.985446207122468,52.5,4.0647,244.9,152.5542,194.1766,710.622,2.1369,0.4057,1.4228,16.1583,42.9584,7.561561139969115,9.333583641404807,1.6903,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F07_CV,1256.0,23.19293000351741,58.8,4.093,247.5,159.8207,225.7249,745.367,2.2744,0.5275,1.0664,19.0873,38.1166,8.392235314808302,10.926383880016028,1.8516,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E04_F08_Cv,1257.0,21.04176227627352,52.400000000000006,4.8734,204.2,205.084,212.5913,699.434,1.7432,0.3668,1.4662,14.8073,43.8515,8.494320789352914,10.757991862830572,1.7058,AAA_E04_CV.xlsx,AAA_E04_CV.xlsx
AAA_E05_F01_CV,1361.0,21.077044389814002,52.3,4.6277,217.79999999999998,204.5587,213.2862,754.679,2.1559,0.4544,1.3173,18.3983,43.4152,8.533930145182985,10.81298853952395,1.746,AAA_E05_CV.xlsx,AAA_E05_CV.xlsx
AAA_E05_F02_CV,1362.0,23.510257245197,57.2,4.5089,221,174.2097,227.879,780.181,2.1497,0.5054,0.9705,18.3447,38.2374,8.533609340838256,11.15654077723043,1.8156,AAA_E05_CV.xlsx,AAA_E05_CV.xlsx
AAA_E05_F04_CV,1364.0,19.73596096814312,51.8,4.1931,240.6,165.0222,199.8053,759.473,2.0906,0.4126,1.3706,16.3232,42.6908,7.807902037692529,9.727771156138262,1.8476,AAA_E05_CV.xlsx,AAA_E05_CV.xlsx
AAA_E05_F05_CV,1366.0,20.644077034883722,55.9,4.5762,221.29999999999998,140.8072,207.1017,767.882,2.2016,0.4545,1.2985,17.2201,40.5353,7.821629723837209,9.85639059012077,1.9095,AAA_E05_CV.xlsx,AAA_E05_CV.xlsx
