Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Mcl1_E01_F04_CV,2671,2.1907,0.4868,17.0795,0.2222,7.796366458209704,36.8622,111.8351,0.9748,4.2794,58.2,231.6,15,95.2,1.9292,171.1444,847.745,Mcl1_E01.xlsx,Mcl1,Female
Mcl1_E01_F05_CV,2673,2.1693,0.4775,16.6847,0.2201,7.691282902318721,36.8759,112.7088,1.1064,3.9395,60,251.7,15.8,111.69999999999999,1.682,166.2015,832.274,Mcl1_E01.xlsx,Mcl1,Female
Mcl1_E01_F06_CV,2674,2.1962,0.4457,16.7386,0.203,7.621619160367908,40.0793,130.4544,1.3339,3.9961,57.2,249.5,15.6,119.8,1.8288,147.136,833.686,Mcl1_E01.xlsx,Mcl1,Female
Mcl1_E01_F07_CV,2675,2.3107,0.526,19.3193,0.2276,8.360799757649195,38.6533,132.535,0.9833,4.3804,55.9,222.1,14.5,96.3,1.7973,173.5838,834.906,Mcl1_E01.xlsx,Mcl1,Female
Mcl1_E01_F08_CV,2676,2.105,0.4384,15.6308,0.2083,7.425558194774347,37.8443,126.6043,1.3064,3.8382,60.6,256.79999999999995,17.5,118.7,1.8917,154.4541,871.432,Mcl1_E01.xlsx,Mcl1,Female
Meis1_E01_F01_CV,3274,2.5322,0.6297,22.1189,0.2487,8.735052523497354,36.7747,153.8208,0.8466,4.4167,59,225.3,15.5,109.2,1.8268,188.5409,818.857,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F02_CV,3275,2.2318,0.6149,20.9712,0.2755,9.396540908683575,35.4242,147.4133,0.6347,4.7221,60.3,203.2,15.9,82.69999999999999,1.9154,214.4109,842.288,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F03_CV,3276,2.2866,0.5909,21.2687,0.2584,9.301451937374267,37.5038,164.7616,0.7424,4.8647,57.5,200.2,15.299999999999999,86.1,1.7832,197.207,814.171,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F04_CV,3277,2.0931,0.6465,21.9505,0.3089,10.487076584969662,34.981,196.1212,0.3575,5.339,60.1,181.4,16.299999999999997,91.30000000000001,1.8624,232.7703,812.374,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F05_CV,3279,2.087,0.5881,20.5525,0.2818,9.84786775275515,36.3729,191.6669,0.634,4.8855,58.6,201,14.9,103.1,1.8124,212.0999,825.084,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F06_CV,3280,2.2938,0.5785,20.5783,0.2522,8.971270381027116,37.2968,158.2506,0.8593,4.6698,58.2,209,14.7,94.5,1.8722,194.1899,847.68,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F07_CV,3281,2.2875,0.59,22.3791,0.2579,9.783213114754098,39.7925,193.4428,0.9668,5.2072,55.800000000000004,182.2,14.3,72.1,1.7341,200.9944,815.905,Meis1_E01.xlsx,Meis1,Female
Meis1_E01_F08_CV,3282,2.3858,0.4987,19.7093,0.209,8.261086428032526,42.0223,149.4277,1.3056,4.2141,54.199999999999996,233.6,13.799999999999999,132.6,1.7317,159.9747,810.576,Meis1_E01.xlsx,Meis1,Female
Ndc80_E01_F01_CV,1662,2.4759,0.5427,20.3064,0.2192,8.201623652005331,39.4854,143.8875,1.0299,3.9791,56.800000000000004,253.7,15.2,129.1,2.0432,162.4783,832.21,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F02_CV,1663,2.5095,0.544,20.5789,0.2168,8.200398485754134,39.8703,131.5028,1.2071,4.3676,56.099999999999994,224.1,14.200000000000001,104.1,1.8309,166.5867,830.22,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F03_CV,1664,2.5639,0.558,21.0442,0.2176,8.20788642302742,39.8368,157.9653,1.1935,4.2422,57.3,235.3,15.2,119.1,1.8939,167.9347,829.257,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F04_CV,1665,2.488,0.5043,19.4434,0.2027,7.814871382636656,41.041,144.8928,1.2199,3.9574,55,253.8,15.6,132.70000000000002,1.76,157.086,816.161,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F05_CV,1667,2.0416,0.4518,17.0511,0.2213,8.351831896551726,40.1041,143.5139,1.2075,4.3716,56.599999999999994,223.8,16.1,93.2,1.7118,170.7592,813.979,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F06_CV,1668,2.4567,0.4789,18.1552,0.1949,7.390076118370171,40.3837,125.9839,1.3226,3.8576,57,259.7,15,119.1,1.7517,148.5482,816.482,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F07_CV,1669,2.6522,0.5808,22.0184,0.219,8.301938013724454,39.8671,136.4929,1.1122,4.4613,56.800000000000004,220.29999999999998,15.8,93.5,1.7656,171.0802,833.301,Ndc80_E01.xlsx,Ndc80,Female
Ndc80_E01_F08_CV,1670,2.511,0.5336,19.6882,0.2125,7.840780565511747,39.0075,129.4322,1.1525,3.8761,57.4,253.6,15.2,119.5,1.7298,164.9176,828.23,Ndc80_E01.xlsx,Ndc80,Female
Nup205_E01_F01_CV,1023,1.8065,0.3334,13.6513,0.1845,7.556767229449211,44.7806,127.3157,1.5252,4.3997,50.2,225,13.6,87.9,1.91,140.3315,778.095,Nup205_E01.xlsx,Nup205,Female
Nup205_E01_F02_CV,1024,2.0776,0.4829,16.6202,0.2325,7.999711205236812,36.1926,109.0218,1.024,4.1828,60.199999999999996,227.3,15.9,84.7,2.124,182.6351,858.401,Nup205_E01.xlsx,Nup205,Female
Nup205_E01_F03_CV,1025,2.1975,0.4931,18.6371,0.2244,8.481046643913539,39.9859,158.4761,1.1232,4.2793,56.5,230.1,14.9,108.10000000000001,1.823,168.8976,~  804.863,Nup205_E01.xlsx,Nup205,Female
Nup205_E01_F04_CV,1026,2.1612,0.5503,19.1222,0.2546,8.847954839903757,36.4472,156.9696,0.9508,4.6563,60.199999999999996,208.6,16.1,90.80000000000001,1.9314,196.3725,836.767,Nup205_E01.xlsx,Nup205,Female
