Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Rab10_E01_M03_CV,2165,2.4954,0.5664,22.9797,0.227,9.208824236595335,43.4151,192.7557,1.3941,5.1465,53,188.79999999999998,14.9,78.60000000000001,1.7783,179.4254,846.461,Rab10_E01.xlsx,Rab10,Male
Rab10_E01_M04_CV,2166,2.1888,0.5012,20.2778,0.229,9.264345760233917,43.4279,196.6801,1.3299,5.1243,52.5,187.9,14.6,74.80000000000001,1.873,179.9389,834.007,Rab10_E01.xlsx,Rab10,Male
Rab10_E01_M05_CV,2168,2.2823,0.5987,22.2218,0.2623,9.736581518643474,39.0156,185.7765,0.9656,5.2271,56.800000000000004,181.9,15.9,73.3,2.0501,204.7177,847.745,Rab10_E01.xlsx,Rab10,Male
Rab10_E01_M06_CV,2169,2.0124,0.541,20.9797,0.2688,10.425213675213676,41.402,224.3551,1.2663,5.8786,55.5,158.70000000000002,15.8,57,1.8668,211.2012,814.492,Rab10_E01.xlsx,Rab10,Male
Rab10_E01_M07_CV,2170,2.5725,0.52,22.9387,0.2022,8.916890184645288,47.7459,193.5837,1.5816,5.2469,48.5,184.70000000000002,13.5,63.8,1.8075,159.718,780.855,Rab10_E01.xlsx,Rab10,Male
Rab10_E01_M08_CV,2171,2.5631,0.5303,21.9606,0.2069,8.567984081775974,44.4712,169.5207,1.4463,4.6694,50.7,211.4,14.4,92.3,1.7908,156.1231,835.034,Rab10_E01.xlsx,Rab10,Male
Rbpj_E01_M01_CV,1887,2.4834,0.6021,25.0379,0.2425,10.082105178384474,44.4259,231.3344,1.3557,5.6618,52,171.6,14.8,74,1.8159,187.1286,804.414,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M02_CV,1888,2.6497,0.5764,24.8842,0.2175,9.39132732007397,46.3026,199.0777,1.4535,5.3202,50.9,183.9,14.200000000000001,75.30000000000001,1.8262,173.6479,798.444,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M03_CV,1889,2.5831,0.5027,21.9843,0.1946,8.510820332159033,48.0665,192.7899,1.8056,5.2668,49.3,186.20000000000002,14.3,67.3,1.7101,157.2144,805.12,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M04_CV,1890,2.4473,0.5207,22.7009,0.2128,9.27589588526131,47.1241,199.1975,1.5882,5.6306,50.2,173.3,14,58.4,1.8295,171.4654,787.916,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M05_CV,1892,2.2976,0.5223,22.2145,0.2273,9.668567200557103,45.7072,220.2264,1.3753,5.3814,50.9,180.79999999999998,14.9,79.9,1.8164,175.9589,829.449,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M06_CV,1893,2.4324,0.6387,24.9023,0.2626,10.237748725538564,41.0944,224.8772,1.1334,5.709,55.4,165.7,14.7,58.1,1.7464,207.8632,836.061,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M07_CV,1894,2.455,0.6071,24.3597,0.2473,9.922484725050916,42.5833,207.1315,1.2205,5.4998,54,174.2,15,74.5,1.8089,190.3383,824.057,Rbpj_E01.xlsx,Rbpj,Male
Rbpj_E01_M08_CV,1895,2.4528,0.5501,23.4164,0.2243,9.546803652968038,45.696,221.3804,1.5056,5.6346,51.5,170.5,15.100000000000001,63.8,1.7817,178.7834,802.552,Rbpj_E01.xlsx,Rbpj,Male
Robo1_E01_M01_CV,2243,2.4479,0.595,24.5589,0.2431,10.0326402222313,43.9346,218.9594,1.2734,5.7135,51.6,169.1,14.5,60.8,1.7682,192.6493,801.718,Robo1_E01.xlsx,Robo1,Male
Robo1_E01_M02_CV,2244,2.4189,0.5851,24.1705,0.2419,9.992351895489687,44.082,236.2655,1.2474,5.5032,51.1,175.7,13.899999999999999,72.9,1.7771,189.5038,796.133,Robo1_E01.xlsx,Robo1,Male
Robo1_E01_M03_CV,2245,2.4335,0.6137,24.6638,0.2522,10.13511403328539,42.4432,219.4341,1.1422,5.6104,53.400000000000006,173,14.3,65.3,1.6315,197.0144,784.835,Robo1_E01.xlsx,Robo1,Male
